id;title;description;availability;condition;price;link;image_link;brand;fb_product_category;"google_product_
category";"additional_
image_link";gender;age_group;color;size
Dress1;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07JQ8XQM7/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=27c98c4096d680aa488849549ca8e024;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F1.jpg?alt=media&token=253d57a9-aa2c-4f80-bdfa-427f37142b37;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;pink;S, M, L, XL
Dress2;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07JQ1LG67/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=a7ba2cbfe71ed258c21b4e4bb0e8980b;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F2%2F2.jpg?alt=media&token=eb0b5e20-2f52-4dca-8b78-bc508ea62484;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;purple;S, M, L, XL
Dress3;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;99 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07KMXSS2H/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=6a1a1ecfb9b42294177690f4f86fbff0;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F3%2F3.jpg?alt=media&token=56623149-a227-4c8e-a522-7d3ec034deb6;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;pink;S, M, L, XL
Dress48;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07XFLMH4F/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=b5106a2e19d6fbef2b5ce10e7a0afdb0;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F48%2F48.jpg?alt=media&token=0ae7db93-1071-4475-80d0-dee3623d0397;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;green;S, M, L, XL
Dress49;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07KMZ46CJ/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=855517b38ad1e0a8dbee1a71bc8f4075;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F49%2F49.jpg?alt=media&token=bf300e70-ccb1-4759-9104-444392baee7e;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;gold;S, M, L, XL
Dress50;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07GBSF4Q6/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=448f187db4d2b2a1a6acffe0e08e4d97;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F50%2F50.jpg?alt=media&token=df85e5d8-60e9-42e1-931e-1dc16efb4377;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;blue;S, M, L, XL
Dress51;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07GBSGKJ3/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=c5eeea62b35de74a6cd95e246fb6388b;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F51%2F51.jpg?alt=media&token=8b8b27ad-b904-40b6-9578-fe131f716e56;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;gold;S, M, L, XL
Dress52;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07GBTCRQX/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=ddd4c2e710be5db5bf2f657c231d8166;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F52%2F52.jpg?alt=media&token=ec09719d-b2b1-46d1-9184-db05fb42a3f2;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;green;S, M, L, XL
Dress53;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07JQ1R2F9/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=6ad36131e40fbcadda2f8111d4fdc176;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F53%2F53.jpg?alt=media&token=3011b85e-2b16-4f99-a787-29a095b62a8c;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;blue;S, M, L, XL
Dress54;Off the shoulder long ball gown;The quinceanera dress features corset top with ruffles and lace applique, skirt with lace hem line , back lace up closure.;in stock;new;103 USD;https://www.amazon.com/Okaybrial-Womens-Quinceanera-Dresses-Shoulder/dp/B07JQ1R2F9/ref=as_li_ss_tl?dchild=1&keywords=quinceanera+dresses&qid=1585837993&sr=8-10&th=1&psc=1&linkCode=ll1&tag=quincy0e-20&linkId=b6063bc2575fad468a9be5e64acd0ffe;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F54%2F54.jpg?alt=media&token=6ebff94e-55a9-4fc2-baf6-64a791efb964;;488;2271;https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F12.jpg?alt=media&token=f25865d9-17e1-45b7-bcf8-94ce076aa2c8,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F13.jpg?alt=media&token=1420f0af-0c04-460a-b426-983fff83e385,https://firebasestorage.googleapis.com/v0/b/quinceanera-planner.appspot.com/o/shopping%2Fitems%2FDress%2F1%2F14.jpg?alt=media&token=b3a2d1e5-a8e6-4b64-b70b-433078ce1018;female;teen;pink;S, M, L, XL
